Order_ID,Order_Date,Product_Name,Category,Region,Sales_Channel,Units_Sold,Unit_Price,Revenue,Customer_ID
ORD-100024,2025-02-06,Robotic Vacuum,Home & Kitchen,West,Affiliate,1,282.25,282.25,CUST-1038
ORD-100025,2024-12-03,Robotic Vacuum,Home & Kitchen,South,Affiliate,4,286.75,1147.0,CUST-1098
ORD-100026,2024-09-19,Designer Jeans,Fashion,North,Online,1,90.32,90.32,CUST-1139
ORD-100027,2024-01-09,Wireless Headphones,Electronics,West,Wholesale,38,122.4,4651.2,CUST-1053
ORD-100028,2025-09-19,Air Fryer,Home & Kitchen,South,In-Store,2,94.84,189.68,CUST-1111
ORD-100029,2024-06-01,Hair Dryer,Beauty & Personal Care,South,Online,2,54.81,109.62,CUST-1168
ORD-100030,2024-06-09,Sci-Fi Novel,Books & Stationery,West,In-Store,3,14.06,42.18,CUST-1127
ORD-100031,2024-02-02,Blender,Home & Kitchen,South,Online,5,62.72,313.6,CUST-1364
ORD-100032,2024-10-09,Coffee Maker,Home & Kitchen,North,In-Store,2,86.99,173.98,CUST-1316
ORD-100033,2026-03-26,Air Fryer,Home & Kitchen,West,Affiliate,5,91.3,456.5,CUST-1372
ORD-100034,2025-06-01,Bluetooth Speaker,Electronics,North,In-Store,2,78.56,157.12,CUST-1187
ORD-100035,2024-04-25,Skincare Gift Set,Beauty & Personal Care,West,Online,1,46.33,46.33,CUST-1053
ORD-100036,2025-11-16,Winter Coat,Fashion,East,In-Store,4,147.92,591.68,CUST-1272
ORD-100037,2024-04-13,Ergonomic Chair,Home & Kitchen,North,Online,2,197.96,395.92,CUST-1305
ORD-100038,2025-05-20,Smartphone,Electronics,North,Online,1,779.82,779.82,CUST-1141
ORD-100039,2025-04-15,Leather Jacket,Fashion,East,Online,2,171.91,343.82,CUST-1062
ORD-100040,2024-07-08,Leather Jacket,Fashion,West,Online,1,151.52,151.52,CUST-1100
ORD-100041,2024-09-20,Fitness Tracker,Sports & Outdoors,West,Wholesale,46,58.38,2685.48,CUST-1371
ORD-100042,2024-12-15,Water Bottle,Sports & Outdoors,South,Online,3,24.69,74.07,CUST-1318
ORD-100043,2026-02-25,Casual T-Shirt,Fashion,South,Wholesale,23,18.56,426.88,CUST-1395
ORD-100044,2025-10-02,Laptop,Electronics,South,In-Store,2,923.97,1847.94,CUST-1372
ORD-100045,2024-09-28,Perfume,Beauty & Personal Care,West,In-Store,1,72.58,72.58,CUST-1085
ORD-100046,2025-11-27,Water Bottle,Sports & Outdoors,South,Wholesale,19,13.54,257.26,CUST-1203
ORD-100047,2024-08-05,Makeup Kit,Beauty & Personal Care,,In-Store,1,49.45,49.45,CUST-1245
ORD-100048,2024-06-28,Leather Jacket,Fashion,West,Wholesale,19,167.16,3176.04,CUST-1003
ORD-100049,2024-01-16,Designer Jeans,Fashion,West,Affiliate,2,97.33,194.66,CUST-1177
ORD-100050,2025-11-05,Bluetooth Speaker,Electronics,North,In-Store,3,70.9,212.7,CUST-1167
ORD-100051,2026-04-21,Perfume,Beauty & Personal Care,South,Online,1,66.43,66.43,CUST-1034
ORD-100052,2025-12-27,Hair Dryer,Beauty & Personal Care,South,Wholesale,55,59.87,3292.85,CUST-1390
ORD-100053,2024-07-14,Casual T-Shirt,Fashion,West,In-Store,3,29.36,88.08,CUST-1248
ORD-100054,2025-11-06,Wireless Headphones,Electronics,West,Online,1,149.8,149.8,CUST-1095
ORD-100055,2026-01-05,Makeup Kit,Beauty & Personal Care,North,In-Store,1,54.57,54.57,CUST-1285
ORD-100056,2024-09-29,Yoga Mat,Sports & Outdoors,East,Online,1,29.79,29.79,CUST-1232
ORD-100057,2024-03-16,Dumbbells,Sports & Outdoors,West,In-Store,2,51.91,103.82,CUST-1372
ORD-100058,2024-03-09,Smartphone,Electronics,West,Affiliate,3,767.24,2301.72,CUST-1038
ORD-100059,2024-07-04,Self-Help Best Seller,Books & Stationery,East,In-Store,3,18.52,55.56,CUST-1238
ORD-100060,2025-08-10,Sunglasses,Fashion,South,Online,3,76.0,228.0,CUST-1169
ORD-100061,2025-09-25,Casual T-Shirt,Fashion,South,Affiliate,1,25.12,25.12,CUST-1320
ORD-100062,2024-12-07,Bluetooth Speaker,Electronics,South,In-Store,2,75.06,150.12,CUST-1363
ORD-100063,2024-06-30,Leather Jacket,Fashion,South,Online,1,166.5,166.5,CUST-1219
ORD-100064,2025-09-29,Water Bottle,Sports & Outdoors,East,In-Store,2,23.22,46.44,CUST-1189
ORD-100065,2025-05-19,Smart TV,Electronics,South,Online,3,643.42,1930.26,CUST-1172
ORD-100066,2025-11-02,Perfume,Beauty & Personal Care,North,Online,2,89.78,179.56,CUST-1046
ORD-100067,2024-08-20,Bluetooth Speaker,Electronics,East,Affiliate,1,73.93,73.93,CUST-1011
ORD-100068,2024-11-25,Desk Organizer,Books & Stationery,North,Online,1,26.06,26.06,CUST-1089
ORD-100069,2025-10-09,Sunglasses,Fashion,North,Online,2,52.32,104.64,CUST-1144
ORD-100070,2024-07-19,Water Bottle,Sports & Outdoors,North,,1,21.84,21.84,CUST-1389
ORD-100071,2025-08-16,Skincare Gift Set,Beauty & Personal Care,West,Wholesale,59,41.1,2424.9,CUST-1004
ORD-100072,2024-04-28,Leather Journal,Books & Stationery,East,Online,2,24.79,49.58,CUST-1062
ORD-100073,2026-03-05,Bluetooth Speaker,Electronics,North,Online,1,61.26,61.26,CUST-1310
ORD-100074,2025-06-01,Perfume,Beauty & Personal Care,North,In-Store,3,89.89,269.67,CUST-1201
ORD-100075,2025-04-02,Skincare Gift Set,Beauty & Personal Care,East,Online,1,42.57,42.57,CUST-1368
ORD-100076,2025-05-02,Camping Tent,Sports & Outdoors,South,In-Store,2,159.88,319.76,CUST-1267
ORD-100077,2026-01-03,Air Fryer,Home & Kitchen,East,Online,3,107.69,323.07,CUST-1340
ORD-100078,2024-04-12,Desk Organizer,Books & Stationery,South,In-Store,1,34.79,34.79,CUST-1346
ORD-100079,2024-11-03,Smartwatch,Electronics,East,Online,2,222.54,445.08,CUST-1050
ORD-100080,2024-05-17,Laptop,Electronics,West,Online,5,976.88,4884.4,CUST-1052
ORD-100081,2025-03-25,Blender,Home & Kitchen,East,In-Store,2,54.79,109.58,CUST-1335
ORD-100082,2024-04-04,Fitness Tracker,Sports & Outdoors,East,Wholesale,41,51.31,2103.71,CUST-1092
ORD-100083,2025-11-02,Running Shoes,Fashion,North,Online,1,91.22,91.22,CUST-1021
ORD-100084,2025-02-08,Skincare Gift Set,Beauty & Personal Care,South,Online,2,47.11,94.22,CUST-1300
ORD-100085,2024-03-13,Smartwatch,Electronics,South,Online,1,204.08,204.08,CUST-1336
ORD-100086,2024-01-08,Wireless Headphones,Electronics,East,In-Store,4,133.68,534.72,CUST-1013
ORD-100087,2024-03-18,Casual T-Shirt,Fashion,East,Online,3,20.61,61.83,CUST-1110
ORD-100088,2025-05-22,Hair Dryer,Beauty & Personal Care,East,Online,1,63.41,63.41,CUST-1118
ORD-100089,2025-04-29,Smart TV,Electronics,South,In-Store,1,610.56,610.56,CUST-1012
ORD-100090,2024-07-30,Running Shoes,Fashion,South,Online,2,109.45,218.9,CUST-1033
ORD-100091,2025-09-14,Smartphone,Electronics,North,Online,4,712.75,2851.0,CUST-1319
ORD-100092,2026-01-07,Cookware Set,Home & Kitchen,North,Online,1,133.2,133.2,CUST-1197
ORD-100093,2025-08-04,Dumbbells,Sports & Outdoors,South,Wholesale,38,33.7,1280.6,CUST-1310
ORD-100094,2024-05-16,Cookware Set,Home & Kitchen,East,Wholesale,34,135.4,4603.6,CUST-1219
ORD-100095,2025-10-07,Leather Journal,Books & Stationery,South,In-Store,4,24.9,99.6,CUST-1334
ORD-100096,2025-12-15,Cookware Set,Home & Kitchen,South,Affiliate,3,150.77,452.31,CUST-1211
ORD-100097,2024-08-12,Yoga Mat,Sports & Outdoors,West,Online,2,34.15,68.3,CUST-1355
ORD-100098,2026-04-24,Smartwatch,Electronics,South,In-Store,2,216.82,433.64,CUST-1385
ORD-100099,2024-01-13,Yoga Mat,Sports & Outdoors,North,In-Store,2,27.07,54.14,CUST-1037
ORD-100100,2025-02-22,Bluetooth Speaker,Electronics,West,Online,4,76.6,306.4,CUST-1136
ORD-100101,2025-08-10,Smartwatch,Electronics,North,Online,3,202.39,607.17,CUST-1269
ORD-100102,2026-04-07,Perfume,Beauty & Personal Care,East,In-Store,4,84.43,337.72,CUST-1088
ORD-100103,2026-01-18,Winter Coat,Fashion,North,Online,3,174.97,524.91,CUST-1142
ORD-100104,2025-10-26,Winter Coat,Fashion,West,In-Store,1,133.32,133.32,CUST-1133
ORD-100105,2025-08-01,Sunglasses,Fashion,North,Online,3,73.81,221.43,CUST-1156
ORD-100106,2025-02-14,Smartwatch,Electronics,South,In-Store,4,210.22,840.88,CUST-1352
ORD-100107,2024-06-07,Water Bottle,Sports & Outdoors,West,In-Store,2,16.26,32.52,CUST-1156
ORD-100108,2024-02-16,Hair Dryer,Beauty & Personal Care,East,In-Store,2,50.36,100.72,CUST-1298
ORD-100109,2024-10-09,Ergonomic Chair,Home & Kitchen,South,Online,2,225.41,450.82,CUST-1345
ORD-100110,2024-10-28,Casual T-Shirt,Fashion,South,In-Store,1,21.38,21.38,CUST-1315
ORD-100111,2025-11-13,Fitness Tracker,Sports & Outdoors,North,In-Store,1,73.69,73.69,CUST-1091
ORD-100112,2026-03-09,Fountain Pen,Books & Stationery,West,Wholesale,25,38.01,950.25,CUST-1256
ORD-100113,2026-03-24,Winter Coat,Fashion,East,Affiliate,4,139.31,557.24,CUST-1054
ORD-100114,2025-01-05,Skincare Gift Set,Beauty & Personal Care,South,Wholesale,40,46.64,1865.6,CUST-1290
ORD-100115,2025-07-28,Running Shoes,Fashion,East,Online,3,117.68,353.04,CUST-1016
ORD-100116,2025-10-01,Hiking Backpack,Sports & Outdoors,West,In-Store,1,74.22,74.22,CUST-1343
ORD-100117,2024-06-09,Ergonomic Chair,Home & Kitchen,South,In-Store,1,190.99,190.99,CUST-1083
ORD-100118,2024-12-26,Desk Organizer,Books & Stationery,West,In-Store,2,30.34,60.68,CUST-1140
ORD-100119,2024-08-02,Ergonomic Chair,Home & Kitchen,North,In-Store,1,190.25,190.25,CUST-1143
ORD-100120,2025-02-27,Smartwatch,Electronics,South,In-Store,2,235.69,471.38,CUST-1113
ORD-100121,2024-08-09,Yoga Mat,Sports & Outdoors,East,Affiliate,1,30.01,30.01,CUST-1365
ORD-100122,2024-06-10,Camping Tent,Sports & Outdoors,West,Online,1,182.01,182.01,CUST-1254
ORD-100123,2024-11-23,Essential Oil Diffuser,Beauty & Personal Care,West,Online,1,33.86,33.86,CUST-1095
ORD-100124,2024-04-29,Fountain Pen,Books & Stationery,West,In-Store,1,49.24,49.24,CUST-1222
ORD-100125,2024-01-07,Designer Jeans,Fashion,East,Online,4,84.15,336.6,CUST-1284
ORD-100126,2025-11-30,Bluetooth Speaker,Electronics,South,Wholesale,17,56.81,965.77,CUST-1118
ORD-100127,2026-03-15,Leather Journal,Books & Stationery,West,Online,5,24.35,121.75,CUST-1363
ORD-100128,2024-10-06,Fountain Pen,Books & Stationery,West,Online,2,47.88,95.76,CUST-1208
ORD-100129,2024-08-24,Smart TV,Electronics,East,Online,1,606.96,606.96,CUST-1028
ORD-100130,2024-04-18,Essential Oil Diffuser,Beauty & Personal Care,,Online,2,33.22,66.44,CUST-1033
ORD-100131,2024-01-17,Self-Help Best Seller,Books & Stationery,North,Online,1,20.75,20.75,CUST-1312
ORD-100132,2024-06-16,Sunglasses,Fashion,North,Online,4,68.98,275.92,CUST-1189
ORD-100133,2025-09-25,Sunglasses,Fashion,North,Online,2,78.75,157.5,CUST-1281
ORD-100134,2024-01-29,Robotic Vacuum,Home & Kitchen,East,In-Store,4,285.94,1143.76,CUST-1054
ORD-100135,2025-02-09,Skincare Gift Set,Beauty & Personal Care,East,Online,2,45.39,90.78,CUST-1336
ORD-100136,2025-05-21,Designer Jeans,Fashion,North,Online,1,95.41,95.41,CUST-1128
ORD-100137,2024-08-04,Designer Jeans,Fashion,East,Online,1,84.92,84.92,CUST-1101
ORD-100138,2026-05-15,Makeup Kit,Beauty & Personal Care,,Online,5,62.14,310.7,CUST-1310
ORD-100139,2025-05-11,Fountain Pen,Books & Stationery,North,In-Store,3,44.63,133.89,CUST-1197
ORD-100140,2024-07-18,Smartphone,Electronics,South,Online,2,722.11,1444.22,CUST-1287
ORD-100141,2026-02-16,Laptop,Electronics,South,Online,1,956.78,956.78,CUST-1006
ORD-100142,2024-05-16,Running Shoes,Fashion,South,In-Store,1,118.32,118.32,CUST-1102
ORD-100143,2024-09-29,Robotic Vacuum,Home & Kitchen,South,Wholesale,57,217.62,12404.34,CUST-1182
ORD-100144,2024-12-29,Smartphone,Electronics,North,In-Store,2,779.06,1558.12,CUST-1107
ORD-100145,2025-03-25,Leather Jacket,Fashion,East,Online,1,151.05,151.05,CUST-1095
ORD-100146,2026-01-08,Desk Organizer,Books & Stationery,North,Online,2,25.52,51.04,CUST-1184
ORD-100147,2024-08-26,Laptop,Electronics,East,Online,3,909.16,2727.48,CUST-1176
ORD-100148,2024-01-03,Self-Help Best Seller,Books & Stationery,South,In-Store,1,17.36,17.36,CUST-1072
ORD-100149,2025-02-02,Fitness Tracker,Sports & Outdoors,North,In-Store,1,78.68,78.68,CUST-1197
ORD-100150,2024-10-28,Ergonomic Chair,Home & Kitchen,North,In-Store,1,210.66,210.66,CUST-1071
ORD-100151,2024-11-05,Essential Oil Diffuser,Beauty & Personal Care,South,Online,1,30.12,30.12,CUST-1240
ORD-100152,2026-02-12,Perfume,Beauty & Personal Care,East,Wholesale,49,67.05,3285.45,CUST-1019
ORD-100153,2026-01-22,Running Shoes,Fashion,South,Affiliate,4,112.74,450.96,CUST-1226
ORD-100154,2026-02-19,Smart TV,Electronics,North,Online,4,644.74,2578.96,CUST-1322
ORD-100155,2025-09-26,Wireless Headphones,Electronics,West,Online,1,149.1,149.1,CUST-1024
ORD-100156,2024-09-17,Sunglasses,Fashion,West,In-Store,1,61.17,61.17,CUST-1036
ORD-100157,2024-11-11,Water Bottle,Sports & Outdoors,South,Online,2,24.9,49.8,CUST-1348
ORD-100158,2025-07-21,Running Shoes,Fashion,North,Wholesale,33,98.53,3251.49,CUST-1335
ORD-100159,2024-06-16,Blender,Home & Kitchen,North,Wholesale,39,45.22,1763.58,CUST-1180
ORD-100160,2024-06-18,Ergonomic Chair,Home & Kitchen,North,Wholesale,45,161.03,7246.35,CUST-1022
ORD-100161,2025-03-01,Cookware Set,Home & Kitchen,East,Online,2,149.73,299.46,CUST-1076
ORD-100162,2025-06-07,Essential Oil Diffuser,Beauty & Personal Care,North,Online,1,34.8,34.8,CUST-1343
ORD-100163,2024-12-30,Fountain Pen,Books & Stationery,South,Online,3,45.21,135.63,CUST-1059
ORD-100164,2024-11-30,Makeup Kit,Beauty & Personal Care,West,Online,1,49.47,49.47,CUST-1016
ORD-100165,2025-06-07,Winter Coat,Fashion,South,Online,4,147.28,589.12,CUST-1269
ORD-100166,2025-12-04,Fitness Tracker,Sports & Outdoors,West,In-Store,1,69.42,69.42,CUST-1394
ORD-100167,2024-02-02,Blender,Home & Kitchen,South,Online,2,63.66,127.32,CUST-1003
ORD-100168,2024-04-08,Perfume,Beauty & Personal Care,West,Online,2,68.94,137.88,CUST-1021
ORD-100169,2025-04-03,Smartwatch,Electronics,West,In-Store,4,207.54,830.16,CUST-1356
ORD-100170,2024-03-24,Bluetooth Speaker,Electronics,North,Online,3,79.67,239.01,CUST-1161
ORD-100171,2024-06-11,Smartphone,Electronics,West,Online,5,756.27,3781.35,CUST-1144
ORD-100172,2025-08-27,Ergonomic Chair,Home & Kitchen,East,In-Store,1,206.51,206.51,CUST-1180
ORD-100173,2025-07-11,Smartwatch,Electronics,North,In-Store,1,205.86,205.86,CUST-1008
ORD-100174,2025-11-08,Dumbbells,Sports & Outdoors,North,In-Store,2,49.54,99.08,CUST-1063
ORD-100175,2025-12-17,Hair Dryer,Beauty & Personal Care,South,Online,2,70.4,140.8,CUST-1031
ORD-100176,2024-01-11,Smartphone,Electronics,West,In-Store,3,777.98,2333.94,CUST-1040
ORD-100177,2025-02-04,Desk Organizer,Books & Stationery,South,In-Store,4,32.01,128.04,CUST-1352
ORD-100178,2024-01-02,Bluetooth Speaker,Electronics,North,Online,1,61.64,61.64,CUST-1193
ORD-100179,2024-06-14,Self-Help Best Seller,Books & Stationery,South,Online,2,21.39,42.78,CUST-1359
ORD-100180,2024-11-12,Leather Journal,Books & Stationery,East,In-Store,1,29.35,29.35,CUST-1203
ORD-100181,2026-05-09,Desk Organizer,Books & Stationery,East,Online,2,28.38,56.76,CUST-1207
ORD-100182,2025-02-13,Air Fryer,Home & Kitchen,South,Online,1,94.91,94.91,CUST-1086
ORD-100183,2025-06-07,Essential Oil Diffuser,Beauty & Personal Care,East,Online,3,27.18,81.54,CUST-1220
ORD-100184,2025-09-22,Robotic Vacuum,Home & Kitchen,South,In-Store,1,277.76,277.76,CUST-1311
ORD-100185,2026-05-22,Camping Tent,Sports & Outdoors,North,Online,1,154.19,154.19,CUST-1352
ORD-100186,2024-11-27,Hair Dryer,Beauty & Personal Care,West,In-Store,3,72.27,216.81,CUST-1381
ORD-100187,2025-06-15,Designer Jeans,Fashion,North,Online,3,90.27,270.81,CUST-1227
ORD-100188,2025-07-31,Dumbbells,Sports & Outdoors,East,In-Store,4,51.37,205.48,CUST-1267
ORD-100189,2025-10-04,Skincare Gift Set,Beauty & Personal Care,West,Online,2,42.62,85.24,CUST-1297
ORD-100190,2025-01-09,Perfume,Beauty & Personal Care,North,Online,4,62.06,248.24,CUST-1110
ORD-100191,2024-01-14,Smartphone,Electronics,South,In-Store,1,759.29,759.29,CUST-1027
ORD-100192,2024-09-17,Smartphone,Electronics,North,Online,1,713.08,713.08,CUST-1009
ORD-100193,2025-12-07,Casual T-Shirt,Fashion,South,Online,2,23.36,46.72,CUST-1263
ORD-100194,2025-11-13,Smartwatch,Electronics,North,,1,208.37,208.37,CUST-1203
ORD-100195,2025-09-23,Fitness Tracker,Sports & Outdoors,South,Online,1,75.92,75.92,CUST-1369
ORD-100196,2024-11-29,Makeup Kit,Beauty & Personal Care,North,Online,2,47.02,94.04,CUST-1244
ORD-100197,2024-02-28,Wireless Headphones,Electronics,South,Online,2,130.82,261.64,CUST-1250
ORD-100198,2026-03-21,Laptop,Electronics,East,Online,2,997.3,1994.6,CUST-1177
ORD-100199,2025-03-03,Sci-Fi Novel,Books & Stationery,South,Online,2,13.85,27.7,CUST-1340
ORD-100200,2025-10-30,Sci-Fi Novel,Books & Stationery,East,In-Store,3,18.77,56.31,CUST-1217
ORD-100201,2025-03-02,Leather Jacket,Fashion,West,Wholesale,26,153.75,3997.5,CUST-1327
ORD-100202,2024-12-10,Smart TV,Electronics,West,Wholesale,19,519.15,9863.85,CUST-1360
ORD-100203,2025-08-24,Leather Jacket,Fashion,East,Affiliate,2,180.24,360.48,CUST-1175
ORD-100204,2025-08-11,Wireless Headphones,Electronics,North,In-Store,4,147.56,590.24,CUST-1018
ORD-100205,2025-01-31,Wireless Headphones,Electronics,North,Online,2,147.37,294.74,CUST-1088
ORD-100206,2025-12-25,Camping Tent,Sports & Outdoors,North,Online,2,153.76,307.52,CUST-1304
ORD-100207,2026-01-05,Dumbbells,Sports & Outdoors,East,Online,2,36.82,73.64,CUST-1264
ORD-100208,2024-01-03,Winter Coat,Fashion,North,Online,1,175.7,175.7,CUST-1303
ORD-100209,2024-10-19,Hiking Backpack,Sports & Outdoors,South,In-Store,3,92.94,278.82,CUST-1020
ORD-100210,2025-02-10,Makeup Kit,Beauty & Personal Care,West,Affiliate,1,65.08,65.08,CUST-1276
ORD-100211,2024-05-20,Winter Coat,Fashion,West,In-Store,2,154.28,308.56,CUST-1156
ORD-100212,2026-01-20,Sunglasses,Fashion,South,Online,2,71.52,143.04,CUST-1344
ORD-100213,2024-12-15,Camping Tent,Sports & Outdoors,East,In-Store,1,177.98,177.98,CUST-1297
ORD-100214,2024-02-05,Leather Journal,Books & Stationery,North,In-Store,5,23.73,118.65,CUST-1374
ORD-100215,2024-04-27,Yoga Mat,Sports & Outdoors,East,In-Store,2,36.9,73.8,CUST-1124
ORD-100216,2025-11-12,Laptop,Electronics,West,Online,3,925.55,2776.65,CUST-1059
ORD-100217,2024-06-15,Running Shoes,Fashion,North,Online,1,108.71,108.71,CUST-1048
ORD-100218,2025-11-03,Skincare Gift Set,Beauty & Personal Care,North,In-Store,2,43.56,87.12,CUST-1159
ORD-100219,2025-06-06,Sci-Fi Novel,Books & Stationery,South,Online,1,16.56,16.56,CUST-1262
ORD-100220,2025-08-19,Winter Coat,Fashion,North,In-Store,5,152.28,761.4,CUST-1187
ORD-100221,2024-10-28,Winter Coat,Fashion,East,In-Store,1,158.91,158.91,CUST-1228
ORD-100222,2024-12-18,Smart TV,Electronics,North,In-Store,2,611.32,1222.64,CUST-1315
ORD-100223,2025-10-03,Hiking Backpack,Sports & Outdoors,West,Wholesale,17,75.82,1288.94,CUST-1299
ORD-100224,2025-01-15,Self-Help Best Seller,Books & Stationery,South,Online,5,22.94,114.7,CUST-1285
ORD-100225,2024-04-25,Camping Tent,Sports & Outdoors,North,In-Store,3,187.45,562.35,CUST-1310
ORD-100226,2024-07-26,Leather Journal,Books & Stationery,West,Online,2,28.21,56.42,CUST-1002
ORD-100227,2025-10-17,Hiking Backpack,Sports & Outdoors,North,In-Store,3,74.56,223.68,CUST-1320
ORD-100228,2025-09-24,Dumbbells,Sports & Outdoors,West,In-Store,1,41.42,41.42,CUST-1271
ORD-100229,2026-01-07,Makeup Kit,Beauty & Personal Care,South,Online,1,52.05,52.05,CUST-1257
ORD-100230,2026-01-30,Blender,Home & Kitchen,East,Affiliate,4,57.93,231.72,CUST-1261
ORD-100231,2024-05-22,Desk Organizer,Books & Stationery,South,In-Store,1,33.5,33.5,CUST-1165
ORD-100232,2025-08-16,Self-Help Best Seller,Books & Stationery,South,Online,1,21.93,21.93,CUST-1013
ORD-100233,2024-03-13,Coffee Maker,Home & Kitchen,East,Online,5,83.07,415.35,CUST-1255
ORD-100234,2024-09-22,Bluetooth Speaker,Electronics,West,In-Store,1,77.23,77.23,CUST-1335
ORD-100235,2025-03-11,Blender,Home & Kitchen,North,In-Store,1,57.96,57.96,CUST-1024
ORD-100236,2024-01-12,Water Bottle,Sports & Outdoors,West,Online,1,24.35,24.35,CUST-1389
ORD-100237,2025-11-02,Self-Help Best Seller,Books & Stationery,East,Online,2,20.19,40.38,CUST-1265
ORD-100238,2024-12-10,Coffee Maker,Home & Kitchen,West,Online,2,81.15,162.3,CUST-1392
ORD-100239,2024-04-08,Dumbbells,Sports & Outdoors,East,In-Store,1,41.62,41.62,CUST-1259
ORD-100240,2026-02-23,Makeup Kit,Beauty & Personal Care,West,In-Store,3,52.12,156.36,CUST-1177
ORD-100241,2025-12-03,Sci-Fi Novel,Books & Stationery,East,Online,3,15.12,45.36,CUST-1228
ORD-100242,2024-07-01,Winter Coat,Fashion,South,In-Store,2,154.06,308.12,CUST-1313
ORD-100243,2025-02-26,Perfume,Beauty & Personal Care,North,Affiliate,3,85.02,255.06,CUST-1172
ORD-100244,2025-11-02,Air Fryer,Home & Kitchen,East,Online,1,106.43,106.43,CUST-1116
ORD-100245,2026-03-04,Sunglasses,Fashion,South,Online,1,57.29,57.29,CUST-1041
ORD-100246,2025-09-16,Smart TV,Electronics,North,In-Store,2,632.92,1265.84,CUST-1028
ORD-100247,2026-04-05,Water Bottle,Sports & Outdoors,East,In-Store,4,23.24,92.96,CUST-1199
ORD-100248,2026-05-04,Essential Oil Diffuser,Beauty & Personal Care,West,In-Store,2,26.05,52.1,CUST-1332
ORD-100249,2024-07-18,Air Fryer,Home & Kitchen,West,Online,1,92.15,92.15,CUST-1147
ORD-100250,2024-10-03,Desk Organizer,Books & Stationery,East,Affiliate,3,28.49,85.47,CUST-1050
ORD-100251,2025-05-05,Hair Dryer,Beauty & Personal Care,West,In-Store,4,50.62,202.48,CUST-1135
ORD-100252,2026-02-06,Laptop,Electronics,East,Online,2,966.73,1933.46,CUST-1077
ORD-100253,2025-09-08,Winter Coat,Fashion,South,In-Store,1,174.78,174.78,CUST-1257
ORD-100254,2025-01-08,Camping Tent,Sports & Outdoors,East,Online,2,137.68,275.36,CUST-1152
ORD-100255,2025-05-02,Camping Tent,Sports & Outdoors,South,Online,4,166.77,667.08,CUST-1171
ORD-100256,2024-10-14,Bluetooth Speaker,Electronics,West,Online,4,65.71,262.84,CUST-1267
ORD-100257,2024-08-20,Perfume,Beauty & Personal Care,South,Wholesale,54,56.63,3058.02,CUST-1237
ORD-100258,2025-10-08,Ergonomic Chair,Home & Kitchen,North,Affiliate,1,217.65,217.65,CUST-1257
ORD-100259,2025-06-24,Hiking Backpack,Sports & Outdoors,East,In-Store,3,98.94,296.82,CUST-1277
ORD-100260,2025-11-13,Wireless Headphones,Electronics,East,Online,1,135.94,135.94,CUST-1107
